quote,name,link
“There is nothing to writing. All you do is sit down at a typewriter and bleed.”,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway
“Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”,Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson
“I have never let my schooling interfere with my education.”,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain
“I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But Ive bought a big bat. Im all ready you see. Now my troubles are going to have troubles with me!”,Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson
“Some people never go crazy. What truly horrible lives they must lead.”,Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski
"“The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”",Terry Pratchett,https://quotes.toscrape.com/author/Terry-Pratchett
"“Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!”",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss
"“What really knocks me out is a book that, when youre all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesnt happen much, though.”",J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,https://quotes.toscrape.com/author/George-Carlin
"“You may say Im a dreamer, but Im not the only one. I hope someday youll join us. And the world will live as one.”",John Lennon,https://quotes.toscrape.com/author/John-Lennon
“I am free of all prejudice. I hate everyone equally. ”,W.C. Fields,https://quotes.toscrape.com/author/W-C-Fields
“The question isnt who is going to let me; its who is going to stop me.”,Ayn Rand,https://quotes.toscrape.com/author/Ayn-Rand
